Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
"Designing checkout UI for a bakery on Figma | Daily UI Challenge, Day 2",https://www.youtube.com/watch?v=ajwuqQDeeG4,1,24.33,24.33,drag mouse to create rectangle,[drag] to [create] [design object] at [new position] on [canvas] using [cursor],,,,,,,,0,0,0,<1 second,1,0.5,
,,,24.32,24.32,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,1,1,0,<1 second,1,0.5,
,,,24.31,24.30,change colour of design object,[update][colour] using [colour wheel],,,,,,,,2,3,1,<2 seconds,2,1.5,
,,,24.29,24.29,zoom in slightly,[zoom],,,,,,,,4,4,0,<1 second,1,0.5,
,,,24.28,24.27,drag mouse to create rectangle,[drag] to [create] [design object] at [new position] on [canvas] using [cursor],,,,,,,,5,6,1,<2 seconds,2,1.5,
,,,24.27,24.27,zoom in slightly,[zoom],,,,,,,,6,6,0,<1 second,1,0.5,
,,,24.26,24.26,update width in ui bar,[update] [gui input] to [value],,,,,,,,7,7,0,<1 second,1,0.5,
,,,24.26,24.26,update height in ui bar,[update] [gui input] to [value],,,,,,,,7,7,0,<1 second,1,0.5,
,,,24.24,24.23,eye dropper,[eyedropper],,,,,,,,9,10,1,<2 seconds,2,1.5,
,,,24.23,24.22,zoom out to show an area of interest,[zoom] to focus [area of interest],,,,,,,,10,11,1,<2 seconds,2,1.5,
,,,24.21,24.21,frame selection,[create] [frame] from [selected],,,,,,,,12,12,0,<1 second,1,0.5,
,,,24.20,24.20,select multiple design objects with mouse,[multiselect] [design objects] on [canvas] using [cursor],,,,,,,,13,13,0,<1 second,1,0.5,
,,,24.17,24.17,centre selected within the current frame (uses alignment grids),[drag] [selected] to [new position] using [cursor] and [alignment grids],,,,,,,,16,16,0,<1 second,1,0.5,
,,,24.16,24.16,deselect,[deselect],,,,,,,,17,17,0,<1 second,1,0.5,
,,,24.16,24.16,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,17,17,0,<1 second,1,0.5,
,,,24.15,24.15,duplicate design object to new position aligned with other objects,[duplicate] [selected] to [new position] using [alignment grids],,,,,,,,18,18,0,<1 second,1,0.5,
,,,24.15,24.14,zoom to focus area of interest,[zoom] to focus [area of interest],,,,,,,,18,19,1,<2 seconds,2,1.5,
,,,24.14,24.13,move design object closer to other design object whilst keeping it aligned,[drag] [design object] to [new position] using [cursor] and [alignment grids] and [reference object],,,,,,,,19,20,1,<2 seconds,2,1.5,
,,,24.12,24.12,duplicate design object with the same spacing,[duplicate] [selected] to [new position] using [alignment grids],,,,,,,,21,21,0,<1 second,1,0.5,
,,,24.12,24.12,move design object to align with three other reference objects,[drag] [design object] to [new position] using [cursor] and [alignment grids] and [reference object],,,,,,,,21,21,0,<1 second,1,0.5,
,,,24.11,24.11,zoom out a bit,[zoom],,,,,,,,22,22,0,<1 second,1,0.5,
,,,24.10,24.10,drag to increase height of design object a little bit (alignment grids used),[drag] [design object] to [resize] using [alignment grids],,,,,,,,23,23,0,<1 second,1,0.5,
,,,24.09,24.09,undo,[undo],,,,,,,,24,24,0,<1 second,1,0.5,
,,,24.09,24.09,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,24,24,0,<1 second,1,0.5,
,,,24.09,24.08,duplicate design object to new position aligned with other objects (further away) (alignment grids used),[duplicate] [selected] to [new position] using [alignment grids],,,,,,,,24,25,1,<2 seconds,2,1.5,
,,,24.07,24.07,move design object up a bit (whilst aligning with other reference objects),[drag] [design object] to [new position] using [cursor] and [alignment grids] and [reference objects],,,,,,,,26,26,0,<1 second,1,0.5,
,,,24.06,24.05,update design object corners to be rounded in ui panel,[update] [gui input] to [value],,,,,,,,27,28,1,<2 seconds,2,1.5,
,,,24.04,24.04,zoom out,[zoom],,,,,,,,29,29,0,<1 second,1,0.5,
,,,24.01,24.01,pan,[pan],,,,,,,,32,32,0,<1 second,1,0.5,
,,,24.01,23.56,leave figma,[exit figma],,,,,,,,32,37,5,<6 seconds,6,5.5,
,,,23.56,23.56,zoom out,[zoom],,,,,,,,37,37,0,<1 second,1,0.5,
,,,23.55,23.55,paste image,,,,,,,,,38,38,0,<1 second,1,0.5,
,,,23.55,23.54,move image down below other design objects,[drag] [design object] to [new position] using [cursor] and [reference objects],,,,,,,,38,39,1,<2 seconds,2,1.5,
,,,23.53,23.53,leave figma,[exit figma],,,,,,,,40,40,0,<1 second,1,0.5,
,,,23.52,23.50,zoom out a lot and pan around,[zoom] and [pan],,,,,,,,41,43,2,<3 seconds,3,2.5,
,,,23.49,23.47,zoom back in to focus main context or area of interest,[zoom] to focus [area of interest],,,,,,,,44,46,2,<3 seconds,3,2.5,
,,,23.45,23.45,change figma page,,,,,,,,,48,48,0,<1 second,1,0.5,
,,,23.45,23.45,pan,[pan],,,,,,,,48,48,0,<1 second,1,0.5,
,,,23.44,23.44,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,49,49,0,<1 second,1,0.5,
,,,23.44,23.44,duplicate to new position away from other reference objects,[duplicate] [selected] to [new position] using [reference objects],,,,,,,,49,49,0,<1 second,1,0.5,
,,,23.41,23.40,zoom and pan,[zoom] and [pan],,,,,,,,52,53,1,<2 seconds,2,1.5,
,,,23.32,23.32,click UI button,[click] [gui icon],,,,,,,,61,61,0,<1 second,1,0.5,
,,,23.28,23.28,zoom and pan,[zoom] and [pan],,,,,,,,65,65,0,<1 second,1,0.5,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
,,,,0.00,,,,,,,,,,,,,,,,
